n_stores,generation,generation_avg_fit,gene_idx,gene_fit,x_store,y_store,store_type
5,0,835.024963,76,1378.184814,210,40,BIG
5,0,835.024963,76,1378.184814,100,690,BIG
5,0,835.024963,76,1378.184814,130,540,BIG
5,0,835.024963,76,1378.184814,270,520,BIG
5,0,835.024963,76,1378.184814,100,300,BIG
5,0,835.024963,6,1304.520264,560,50,BIG
5,0,835.024963,6,1304.520264,470,470,BIG
5,0,835.024963,6,1304.520264,300,270,BIG
5,0,835.024963,6,1304.520264,100,430,BIG
5,0,835.024963,6,1304.520264,390,350,BIG
5,0,835.024963,142,1299.709229,350,510,BIG
5,0,835.024963,142,1299.709229,310,600,SMALL
5,0,835.024963,142,1299.709229,80,360,BIG
5,0,835.024963,142,1299.709229,400,700,BIG
5,0,835.024963,142,1299.709229,190,160,BIG
5,0,835.024963,23,1278.492798,190,290,SMALL
5,0,835.024963,23,1278.492798,510,120,BIG
5,0,835.024963,23,1278.492798,130,60,BIG
5,0,835.024963,23,1278.492798,280,540,BIG
5,0,835.024963,23,1278.492798,340,360,BIG
5,0,835.024963,100,1223.723633,470,70,BIG
5,0,835.024963,100,1223.723633,190,200,BIG
5,0,835.024963,100,1223.723633,520,700,BIG
5,0,835.024963,100,1223.723633,450,180,BIG
5,0,835.024963,100,1223.723633,560,290,BIG
5,0,835.024963,113,1220.15564,180,510,BIG
5,0,835.024963,113,1220.15564,430,30,BIG
5,0,835.024963,113,1220.15564,90,100,BIG
5,0,835.024963,113,1220.15564,120,400,BIG
5,0,835.024963,113,1220.15564,220,730,BIG
5,0,835.024963,111,1207.563354,520,730,BIG
5,0,835.024963,111,1207.563354,480,330,BIG
5,0,835.024963,111,1207.563354,10,460,BIG
5,0,835.024963,111,1207.563354,30,210,BIG
5,0,835.024963,111,1207.563354,120,120,BIG
5,0,835.024963,90,1201.009033,390,600,BIG
5,0,835.024963,90,1201.009033,140,10,BIG
5,0,835.024963,90,1201.009033,160,230,BIG
5,0,835.024963,90,1201.009033,580,500,BIG
5,0,835.024963,90,1201.009033,260,500,BIG
5,0,835.024963,80,1196.071777,490,730,BIG
5,0,835.024963,80,1196.071777,480,330,BIG
5,0,835.024963,80,1196.071777,240,180,BIG
5,0,835.024963,80,1196.071777,560,620,SMALL
5,0,835.024963,80,1196.071777,160,230,BIG
5,0,835.024963,54,1192.015625,340,170,BIG
5,0,835.024963,54,1192.015625,420,530,BIG
5,0,835.024963,54,1192.015625,540,160,BIG
5,0,835.024963,54,1192.015625,80,390,BIG
5,0,835.024963,54,1192.015625,200,50,SMALL
5,1,862.555786,170,1429.584106,210,520,BIG
5,1,862.555786,170,1429.584106,360,440,BIG
5,1,862.555786,170,1429.584106,210,650,BIG
5,1,862.555786,170,1429.584106,120,400,BIG
5,1,862.555786,170,1429.584106,80,150,BIG
5,1,862.555786,165,1340.671631,210,40,BIG
5,1,862.555786,165,1340.671631,100,690,BIG
5,1,862.555786,165,1340.671631,130,540,BIG
5,1,862.555786,165,1340.671631,280,540,BIG
5,1,862.555786,165,1340.671631,100,350,BIG
5,1,862.555786,68,1296.331177,500,90,BIG
5,1,862.555786,68,1296.331177,360,670,BIG
5,1,862.555786,68,1296.331177,190,680,BIG
5,1,862.555786,68,1296.331177,420,450,BIG
5,1,862.555786,68,1296.331177,570,670,BIG
5,1,862.555786,44,1247.862671,170,490,BIG
5,1,862.555786,44,1247.862671,480,330,BIG
5,1,862.555786,44,1247.862671,240,180,BIG
5,1,862.555786,44,1247.862671,130,160,BIG
5,1,862.555786,44,1247.862671,120,460,BIG
5,1,862.555786,186,1224.3479,190,290,SMALL
5,1,862.555786,186,1224.3479,510,780,BIG
5,1,862.555786,186,1224.3479,130,60,BIG
5,1,862.555786,186,1224.3479,280,540,BIG
5,1,862.555786,186,1224.3479,340,360,BIG
5,1,862.555786,46,1220.15564,180,510,BIG
5,1,862.555786,46,1220.15564,430,30,BIG
5,1,862.555786,46,1220.15564,90,100,BIG
5,1,862.555786,46,1220.15564,120,400,BIG
5,1,862.555786,46,1220.15564,220,730,BIG
5,1,862.555786,164,1202.390625,320,680,BIG
5,1,862.555786,164,1202.390625,360,400,BIG
5,1,862.555786,164,1202.390625,300,250,SMALL
5,1,862.555786,164,1202.390625,560,140,BIG
5,1,862.555786,164,1202.390625,190,270,BIG
5,1,862.555786,92,1202.304932,190,290,SMALL
5,1,862.555786,92,1202.304932,510,120,BIG
5,1,862.555786,92,1202.304932,570,390,BIG
5,1,862.555786,92,1202.304932,280,540,BIG
5,1,862.555786,92,1202.304932,340,360,BIG
5,1,862.555786,66,1187.409546,470,70,BIG
5,1,862.555786,66,1187.409546,190,210,BIG
5,1,862.555786,66,1187.409546,550,720,BIG
5,1,862.555786,66,1187.409546,450,180,BIG
5,1,862.555786,66,1187.409546,560,290,BIG
5,1,862.555786,4,1176.403564,420,600,BIG
5,1,862.555786,4,1176.403564,230,300,BIG
5,1,862.555786,4,1176.403564,160,230,BIG
5,1,862.555786,4,1176.403564,90,180,SMALL
5,1,862.555786,4,1176.403564,330,90,BIG
5,2,889.528198,162,1416.944946,190,520,BIG
5,2,889.528198,162,1416.944946,430,30,BIG
5,2,889.528198,162,1416.944946,90,100,BIG
5,2,889.528198,162,1416.944946,120,400,BIG
5,2,889.528198,162,1416.944946,300,260,BIG
5,2,889.528198,119,1390.623657,170,490,BIG
5,2,889.528198,119,1390.623657,440,360,BIG
5,2,889.528198,119,1390.623657,240,180,BIG
5,2,889.528198,119,1390.623657,130,160,BIG
5,2,889.528198,119,1390.623657,500,160,BIG
5,2,889.528198,47,1376.817993,170,490,BIG
5,2,889.528198,47,1376.817993,480,370,BIG
5,2,889.528198,47,1376.817993,240,180,BIG
5,2,889.528198,47,1376.817993,520,280,BIG
5,2,889.528198,47,1376.817993,400,540,BIG
5,2,889.528198,72,1348.581787,420,600,BIG
5,2,889.528198,72,1348.581787,400,420,BIG
5,2,889.528198,72,1348.581787,160,230,BIG
5,2,889.528198,72,1348.581787,90,180,SMALL
5,2,889.528198,72,1348.581787,330,90,BIG
5,2,889.528198,78,1345.714355,470,500,BIG
5,2,889.528198,78,1345.714355,260,460,BIG
5,2,889.528198,78,1345.714355,100,370,BIG
5,2,889.528198,78,1345.714355,330,730,SMALL
5,2,889.528198,78,1345.714355,370,230,BIG
5,2,889.528198,177,1334.772339,180,510,BIG
5,2,889.528198,177,1334.772339,360,670,BIG
5,2,889.528198,177,1334.772339,200,700,BIG
5,2,889.528198,177,1334.772339,420,450,BIG
5,2,889.528198,177,1334.772339,570,670,BIG
5,2,889.528198,160,1300.124878,210,520,BIG
5,2,889.528198,160,1300.124878,360,440,BIG
5,2,889.528198,160,1300.124878,210,690,SMALL
5,2,889.528198,160,1300.124878,40,670,BIG
5,2,889.528198,160,1300.124878,80,150,BIG
5,2,889.528198,152,1288.832153,350,510,BIG
5,2,889.528198,152,1288.832153,330,390,BIG
5,2,889.528198,152,1288.832153,470,70,BIG
5,2,889.528198,152,1288.832153,500,360,SMALL
5,2,889.528198,152,1288.832153,190,200,BIG
5,2,889.528198,175,1277.143066,60,300,BIG
5,2,889.528198,175,1277.143066,350,510,SMALL
5,2,889.528198,175,1277.143066,440,540,BIG
5,2,889.528198,175,1277.143066,160,510,BIG
5,2,889.528198,175,1277.143066,270,250,BIG
5,2,889.528198,138,1276.21521,400,340,BIG
5,2,889.528198,138,1276.21521,60,80,SMALL
5,2,889.528198,138,1276.21521,120,410,BIG
5,2,889.528198,138,1276.21521,440,450,BIG
5,2,889.528198,138,1276.21521,230,500,BIG
5,3,904.511902,135,1474.549072,100,450,BIG
5,3,904.511902,135,1474.549072,500,700,BIG
5,3,904.511902,135,1474.549072,260,200,BIG
5,3,904.511902,135,1474.549072,80,140,BIG
5,3,904.511902,135,1474.549072,90,280,BIG
5,3,904.511902,152,1371.743286,210,520,BIG
5,3,904.511902,152,1371.743286,360,400,BIG
5,3,904.511902,152,1371.743286,210,690,SMALL
5,3,904.511902,152,1371.743286,40,670,BIG
5,3,904.511902,152,1371.743286,80,150,BIG
5,3,904.511902,137,1368.956665,480,420,BIG
5,3,904.511902,137,1368.956665,500,700,BIG
5,3,904.511902,137,1368.956665,290,200,BIG
5,3,904.511902,137,1368.956665,80,140,BIG
5,3,904.511902,137,1368.956665,370,230,BIG
5,3,904.511902,149,1354.766113,470,70,BIG
5,3,904.511902,149,1354.766113,320,520,SMALL
5,3,904.511902,149,1354.766113,330,280,BIG
5,3,904.511902,149,1354.766113,160,520,BIG
5,3,904.511902,149,1354.766113,120,120,BIG
5,3,904.511902,175,1319.77832,170,490,BIG
5,3,904.511902,175,1319.77832,450,360,BIG
5,3,904.511902,175,1319.77832,240,180,BIG
5,3,904.511902,175,1319.77832,200,650,BIG
5,3,904.511902,175,1319.77832,50,690,SMALL
5,3,904.511902,198,1317.77478,210,520,BIG
